base_variant,base_condition,principle_condition,delta_mae,delta_rmse,delta_smape,delta_cpc,delta_delta_beta,delta_rho_origin,delta_rho_destination,delta_delta_gini,improved_mae,improved_rmse,improved_smape,improved_cpc,improved_delta_beta,improved_rho_origin,improved_rho_destination,improved_delta_gini
original,original,original_principles,-1.4975156221668442,-0.042567213427485484,-0.07666887508511977,0.0014673851513771208,-0.0035761285959809985,0.04956521739130437,0.0,0.0013571872729438716,True,True,True,True,True,True,False,False
geometry,geometry,geometry_principles,-0.07968631432817475,0.3166297505831075,-0.0043897085757675924,-0.010737037598776089,-0.02869346951478091,0.002608695652173809,-0.00782608695652176,0.0025986523938204,True,False,True,False,True,True,False,False
