condition,base_variant,principle_prompt,n_eval,mae,rmse,smape,cpc,delta_beta,rho_origin,rho_destination,delta_gini
original,original,False,2472,12.000101191434444,18.345724554697135,0.6340870523220451,0.6759750948850713,0.8534707067703704,0.6521739130434783,0.6104347826086955,0.24372246616421878
geometry,geometry,False,2472,10.05214807575236,19.374969981832713,0.5255547137261756,0.6490444618639404,0.8614273952499549,0.6660869565217391,0.5843478260869565,0.23727887236320533
original_principles,original,True,2472,10.5025855692676,18.30315734126965,0.5574181772369253,0.6774424800364485,0.8498945781743894,0.7017391304347826,0.6104347826086955,0.24507965343716265
geometry_principles,geometry,True,2472,9.972461761424185,19.69159973241582,0.521165005150408,0.6383074242651643,0.832733925735174,0.6686956521739129,0.5765217391304347,0.23987752475702573
